Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
RAYUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,42,6,1,9
RAYUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,42,5,1,2
RAYUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,48,5,1,5
RAYUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,53,9,1,3
RAYUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,52,8,2,2
RAYUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,40,6,1,9
RAYUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,42,5,1,9
RAYUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,47,6,2,3
RAYUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,45,9,1,4
RAYUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,51,9,1,8
RAYUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,41,9,2,9
RAYUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,46,6,1,4
RAYUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,49,8,2,7
RAYUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,41,8,2,6
RAYUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,42,5,2,1
RAYUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,42,8,2,9
RAYUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,53,7,2,1
RAYUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,41,7,1,5
RAYUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,43,8,2,3
RAYUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,51,7,2,6
RAYUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,52,8,1,5
RAYUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,45,5,1,5
RAYUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,51,6,1,8
RAYUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,53,8,1,3
RAYUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,46,5,1,7
RAYUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,46,7,2,1
RAYUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,49,8,2,5
RAYUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,43,7,1,1
RAYUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.0,0,0,41,9,1,8
RAYUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,48,8,1,8
